Sr No,Book,Book Index,Chapter,Verse,Occasion
1,Genesis,1,28,15,Creation
2,Exodus,2,14,14,Deliverance
3,Leviticus,3,26,12,Divine Provision
4,Numbers,4,23,19,Guidance
5,Deuteronomy,5,31,6,Reassurance
6,Joshua,6,1,9,Conquest
7,Judges,7,6,16,Victory
8,Ruth,8,1,16,Redemption
9,1 Samuel,9,7,12,Hope
10,2 Samuel,10,22,20,Protection
11,1 Kings,11,17,14,Restoration
12,2 Kings,12,20,19,Restoration
13,1 Chronicles,13,28,9,Guidance
14,2 Chronicles,14,20,17,Security
15,Ezra,15,1,7,Assistance
16,Nehemiah,16,1,10,Encouragement
17,Esther,17,4,14,Deliverance
18,Job,18,23,12,Comfort
19,Psalms,19,19,14,Security
20,Proverbs,20,3,5,Trust
21,Ecclesiastes,21,3,14,Contentment
22,Song of Solomon,22,4,7,Love
23,Isaiah,23,41,10,Encouragement
24,Jeremiah,24,29,11,Hope
25,Lamentations,25,3,22,Restoration
26,Ezekiel,26,34,16,Provision
27,Daniel,27,9,14,Deliverance
28,Hosea,28,14,4,Love
29,Joel,29,2,13,Restoration
30,Amos,30,5,14,Justice
31,Obadiah,31,1,17,Victory
32,Jonah,32,2,2,Restoration
33,Micah,33,7,7,Deliverance
34,Nahum,34,1,7,Judgment
35,Habakkuk,35,3,19,Faith
36,Zephaniah,36,3,17,Restoration
37,Haggai,37,2,5,Encouragement
38,Zechariah,38,8,12,Hope
39,Malachi,39,3,10,Provision
40,Matthew,40,7,7,Answer to Prayer
41,Mark,41,11,24,Faith
42,Luke,42,12,32,Encouragement
43,John,43,14,27,Peace
44,Acts,44,16,31,Salvation
45,Romans,45,8,28,Assurance
46,1 Corinthians,46,10,13,Strength
47,2 Corinthians,47,1,20,Promises
48,Galatians,48,6,9,Perseverance
49,Ephesians,49,3,20,Abundance
50,Philippians,50,4,6,Peace
51,Colossians,51,3,2,Focus
52,1 Thessalonians,52,5,23,Sanctification
53,2 Thessalonians,53,3,3,Protection
54,1 Timothy,54,1,15,Trust
55,2 Timothy,55,1,7,Fearlessness
56,Titus,56,3,7,Inheritance
57,Philemon,57,1,6,Encouragement
58,Hebrews,58,13,5,Contentment
59,James,59,1,12,Perseverance
60,1 Peter,60,5,7,Care
61,2 Peter,61,1,4,Divine Nature
62,1 John,62,1,9,Forgiveness
63,2 John,63,1,2,Truth
64,3 John,64,1,2,Prosperity
65,Jude,65,1,24,Preservation
66,Revelation,66,21,4,Restoration
67,Genesis,1,22,18,Promise to Abraham
68,Exodus,2,15,25,Healing
69,Leviticus,3,26,9,Prosperity
70,Numbers,4,23,20,Guidance
71,Deuteronomy,5,30,19,Hope
72,Joshua,6,23,24,Victory
73,Judges,7,13,18,Encouragement
74,Ruth,8,4,9,Commitment
75,1 Samuel,9,25,2,Hope
76,2 Samuel,10,20,4,Victory
77,1 Kings,11,22,1,Restoration
78,2 Kings,12,20,19,Healing
79,1 Chronicles,13,7,14,Protection
80,2 Chronicles,14,20,16,Peace
81,Ezra,15,6,9,Restoration
82,Nehemiah,16,2,20,Encouragement
83,Esther,17,2,20,Protection
84,Job,18,1,3,Comfort
85,Psalms,19,19,1,Guidance
86,Proverbs,20,4,7,Assurance
87,Ecclesiastes,21,1,14,Contentment
88,Song of Solomon,22,8,5,Love
89,Isaiah,23,43,1,Deliverance
90,Jeremiah,24,32,17,Restoration
91,Lamentations,25,5,19,Comfort
92,Ezekiel,26,37,26,Restoration
93,Daniel,27,10,1,Protection
94,Hosea,28,2,18,Healing
95,Joel,29,3,21,Restoration
96,Amos,30,9,11,Justice
97,Obadiah,31,1,15,Victory
98,Jonah,32,3,9,Deliverance
